,Unnamed: 0,lesson_name,question_name,answer_choice_1,answer_choice_2,answer_choice_3,answer_choice_4,correct_answer,image_path,image_has_labels_to_guess,caption,blip_2_generated_answers,mapped_predictions
34,34,climate and its causes,What happens when air rises over mountains and cools?,It results to precipitation.,It results to vaporization.,It results to evaporation.,It results to humidity.,It results to precipitation.,../Dataset/test/question_images/rain_shadow_7532.png,No,a diagram of a mountain with a few different types of water,a,It results to precipitation.
35,35,climate and its causes,"From the diagram, what happens when air cools and condenses, forming clouds?",warm air rises over high areas,it rains,air descends and becomes warmer,rain shadow is formed,it rains,../Dataset/test/question_images/rain_shadow_7534.png,No,a diagram of a mountain with a few different types of water,b,it rains
36,36,climate and its causes,What happens to air after precipitation?,It rises and become moist,It forms clouds,It descends and becomes moist,"It descends, warms, and becomes drier","It descends, warms, and becomes drier",../Dataset/test/question_images/rain_shadow_7534.png,No,a diagram of a mountain with a few different types of water,d,"It descends, warms, and becomes drier"
37,37,climate and its causes,What happens when air cools?,It forms clouds,It rains,It forms part of the sea,It rises,It forms clouds,../Dataset/test/question_images/rain_shadow_7534.png,No,a diagram of a mountain with a few different types of water,a,It forms clouds
38,38,climate and its causes,Which side of the mountain does not receive rain?,ocean slope,rain shadow,easterly slope,prevailing wind,rain shadow,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,b,rain shadow
39,39,climate and its causes,This influences the occurrence of rainfall.,Ocean,Trees,Mountain,Soil,Ocean,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,c,Mountain
40,40,climate and its causes,"From the diagram, what happens after a rainfall?",prevailing wind blows,ocean level rises,ocean level drops,rain shadow is formed,rain shadow is formed,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,d,rain shadow is formed
41,41,climate and its causes,Rain comes from what source in this diagram?,rain shadow,mountain,winds,ocean,ocean,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,d,ocean
42,42,climate and its causes,"In the diagram, what brings water to the soil?",Wind,Rainfall,Ocean,Rain Shadow,Rainfall,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,b,Rainfall
43,43,climate and its causes,What is the side facing away from the rain called?,rainfall,rain shadow,prevailing wind,Ocean,rain shadow,../Dataset/test/question_images/rain_shadow_7535.png,No,a diagram of a mountain with rain and rain coming from it,b,rain shadow
44,44,climate and its causes,What happens after rising air cools and condenses?,prevailing winds,dry air advances,nothing happens,warm moist air,dry air advances,../Dataset/test/question_images/rain_shadow_7536.png,No,a diagram of a mountain with a few different types of air,d,warm moist air
45,45,climate and its causes,"From the diagram, what happens after rising air cools and condenses?",warm moist air forms,dry air advances,prevailing winds blow,rain shadow is formed,dry air advances,../Dataset/test/question_images/rain_shadow_7536.png,No,a diagram of a mountain with a few different types of air,d,rain shadow is formed
46,46,climate and its causes,Would the rain shadow area have any vegetation?,No,Not sure,Data Insufficient,Yes,No,../Dataset/test/question_images/rain_shadow_7536.png,No,a diagram of a mountain with a few different types of air,b,Not sure
47,47,climate and its causes,Where does the rain shadow occur?,Wet Leeward Side,Dry Leeward Side,Dry Windward Slope,Rainy Windward SLope,Dry Leeward Side,../Dataset/test/question_images/rain_shadow_7537.png,No,a diagram of a mountain with a few different types of weather,c,Dry Windward Slope
48,48,climate and its causes,What is temperature like 2000 m above sea level?,~20 degree Celsius,~10 degree Celsius,~9 degree Celsius,~7 degree Celsius,~7 degree Celsius,../Dataset/test/question_images/rain_shadow_7537.png,No,a diagram of a mountain with a few different types of weather,d,~7 degree Celsius
49,49,climate and its causes,Where does precipitation occur in the diagram?,Ocean,Dry leeward slope,Rain shadow,Rainy windward slope,Rainy windward slope,../Dataset/test/question_images/rain_shadow_7537.png,No,a diagram of a mountain with a few different types of weather,d,Rainy windward slope
50,50,climate and its causes,A cloud is formed through what process?,Evaporation,Sublimation,Melting,Condensation,Condensation,../Dataset/test/question_images/rain_shadow_7537.png,No,a diagram of a mountain with a few different types of weather,d,Condensation
51,51,climate and its causes,Why does it rain on the windward side of an elevated range?,"Warm air rises and condenses, causing rain",cool air has more moisture,elevation causes air to be drier and less oxegenated,wind removes moisture from air,"Warm air rises and condenses, causing rain",../Dataset/test/question_images/rain_shadow_7537.png,No,a diagram of a mountain with a few different types of weather,a,"Warm air rises and condenses, causing rain"
52,52,climate and its causes,What happens after dry air is warmed?,windward slide,leeward slide,zone of precipitation,rain shadow desert,rain shadow desert,../Dataset/test/question_images/rain_shadow_8183.png,No,a diagram of a mountain with a few different types of weather,c,zone of precipitation
53,53,climate and its causes,"From the diagram, what happens after the presence of moist prevailing winds?",rain shadow desert,air cools and condenses,dry air is warmed,zone of precipitation,air cools and condenses,../Dataset/test/question_images/rain_shadow_8183.png,No,a diagram of a mountain with a few different types of weather,d,zone of precipitation
54,54,climate and its causes,What occurs on the leeward side of a mountain range or island?,air condenses,dry air is warmed,air cools,it rains,dry air is warmed,../Dataset/test/question_images/rain_shadow_8183.png,No,a diagram of a mountain with a few different types of weather,d,it rains
55,55,climate and its causes,How many stages are under Windward Side?,4,3,5,2,3,../Dataset/test/question_images/rain_shadow_8183.png,No,a diagram of a mountain with a few different types of weather,a,4
56,56,climate and its causes,Which side receives rain?,the moon,windward side,rain shadow desert,leeward side,windward side,../Dataset/test/question_images/rain_shadow_8183.png,No,a diagram of a mountain with a few different types of weather,b,windward side
57,57,climate and its causes,What is the direction of moist air?,Downwards,Right,Upwards,Left,Upwards,../Dataset/test/question_images/rain_shadow_8184.png,No,a diagram of a mountain with rain and rain coming down,a,Downwards
58,58,climate and its causes,What separates moist air from dry air?,the region of rain shadow,mountain,rain,sea,the region of rain shadow,../Dataset/test/question_images/rain_shadow_8184.png,No,a diagram of a mountain with rain and rain coming down,a,the region of rain shadow
59,59,introduction to plants,How many parts does the leaf have?,1,6,5,2,6,../Dataset/test/abc_question_images/parts_leaf_10557.png,Yes,a close up of a leaf with the letters s and a leaf with the letter s,c,5
60,60,introduction to plants,Which part provides a flexible “handle” that enables the blade to twist in the wind and avoid damage.,U,C,S,T,U,../Dataset/test/abc_question_images/parts_leaf_10557.png,Yes,a close up of a leaf with the letters s and a leaf with the letter s,d,T
61,61,introduction to plants,Which label refers to the margin?,M,P,Y,X,M,../Dataset/test/abc_question_images/parts_leaf_10558.png,Yes,a close up of a leaf with the names of the parts labeled,a,M
62,62,introduction to plants,Which Letter represents the Sinus of the Leaf?,K,Y,M,F,F,../Dataset/test/abc_question_images/parts_leaf_10558.png,Yes,a close up of a leaf with the names of the parts labeled,d,F
63,63,introduction to plants,Identify the stem in this picture,Y,F,X,M,X,../Dataset/test/abc_question_images/parts_leaf_10558.png,Yes,a close up of a leaf with the names of the parts labeled,d,M
64,64,introduction to plants,What part of the leaf represents margin?,P,Y,M,K,M,../Dataset/test/abc_question_images/parts_leaf_10558.png,Yes,a close up of a leaf with the names of the parts labeled,c,M
65,65,introduction to plants,Where is the petiole?,X,P,M,Y,X,../Dataset/test/abc_question_images/parts_leaf_10558.png,Yes,a close up of a leaf with the names of the parts labeled,a,X
66,66,introduction to plants,Which label represents the tip?,K,J,E,Y,Y,../Dataset/test/abc_question_images/parts_leaf_10560.png,Yes,a diagram of a leaf with the names of the parts labeled,a,K
67,67,introduction to plants,Identify the petiole of the leaf.,Y,K,C,M,K,../Dataset/test/abc_question_images/parts_leaf_11090.png,Yes,a close up of a leaf with the letters and the names of the leaves,c,C
68,68,introduction to plants,Which label shows the midrib?,Y,E,R,K,E,../Dataset/test/abc_question_images/parts_leaf_11090.png,Yes,a close up of a leaf with the letters and the names of the leaves,c,R
69,69,introduction to plants,Which label refers to a stipulate?,P,W,X,F,X,../Dataset/test/abc_question_images/parts_leaf_11091.png,Yes,a diagram of a plant with leaves and letters on it,d,F
70,70,introduction to plants,What does D depict in this image of leaves?,MIDRIB,BLADE,VEIN,PETIOLE,BLADE,../Dataset/test/abc_question_images/parts_leaf_11091.png,Yes,a diagram of a plant with leaves and letters on it,d,PETIOLE
71,71,introduction to plants,By what letter is the stem represented in the diagram?,P,J,U,K,K,../Dataset/test/abc_question_images/parts_leaf_11094.png,Yes,a diagram of a leaf with the names of the parts labeled,a,P
72,72,introduction to plants,Which label indicates the leaf's leaflet?,P,K,D,U,U,../Dataset/test/abc_question_images/parts_leaf_11094.png,Yes,a diagram of a leaf with the names of the parts labeled,d,U
73,73,introduction to plants,Which letter indicates the stipule of the leaf?,W,P,A,J,A,../Dataset/test/abc_question_images/parts_leaf_11105.png,Yes,a close up of a leaf with labels on it,c,A
74,74,introduction to plants,Which of the labeled elements identifies a vein of the leaf?,W,P,A,D,W,../Dataset/test/abc_question_images/parts_leaf_11105.png,Yes,a close up of a leaf with labels on it,d,D
75,75,introduction to plants,"Knowing this is a leaf that is attached to a stem, which part is the stem?",J,X,C,P,P,../Dataset/test/abc_question_images/parts_leaf_11105.png,Yes,a close up of a leaf with labels on it,c,C
76,76,introduction to plants,Which organ is responsible for holding the plant upright?,J,A,P,X,P,../Dataset/test/abc_question_images/parts_leaf_11105.png,Yes,a close up of a leaf with labels on it,d,X
77,77,introduction to plants,What is represented by label X?,SPONGY LAYER,UPPER EPIDERMIS,PALISADE CELLS,CUTICLE,PALISADE CELLS,../Dataset/test/abc_question_images/parts_leaf_11117.png,Yes,a diagram of a plant's structure with the names of the parts,d,CUTICLE
78,78,introduction to plants,Which letter indicates veins?,D,M,X,V,D,../Dataset/test/abc_question_images/parts_leaf_11117.png,Yes,a diagram of a plant's structure with the names of the parts,d,V
79,79,introduction to plants,Which part prevents water loss and damage to the plant?,X,V,W,M,V,../Dataset/test/abc_question_images/parts_leaf_11117.png,Yes,a diagram of a plant's structure with the names of the parts,d,M
80,80,introduction to plants,What holds in moisture?,L,M,A,J,L,../Dataset/test/abc_question_images/parts_leaf_11118.png,Yes,a leaf with names and pictures for each of the parts,a,L
81,81,introduction to plants,Which label shows the bud?,U,L,K,T,U,../Dataset/test/abc_question_images/parts_leaf_11121.png,Yes,a diagram of a leaf with the names of the parts,a,U
82,82,introduction to plants,Which letter indicates the petiole part of the leaf?,L,Y,F,K,L,../Dataset/test/abc_question_images/parts_leaf_11121.png,Yes,a diagram of a leaf with the names of the parts,a,L
83,83,introduction to plants,What is the Leaf Part labeled S?,PETIOLE,STRIPULES,MIDRIB,BLADE,MIDRIB,../Dataset/test/abc_question_images/parts_leaf_11123.png,Yes,a diagram of a leaf with the names of the parts labeled,b,STRIPULES
84,84,introduction to plants,Which label refers to the midrib?,R,S,N,J,S,../Dataset/test/abc_question_images/parts_leaf_11123.png,Yes,a diagram of a leaf with the names of the parts labeled,d,J
85,85,introduction to plants,Identify the blade of the leaf:,N,J,S,R,N,../Dataset/test/abc_question_images/parts_leaf_11123.png,Yes,a diagram of a leaf with the names of the parts labeled,c,S
86,86,introduction to plants,What does “N” represent?,MIDRIB,STIPULE,BLADE,PETIOLE,BLADE,../Dataset/test/abc_question_images/parts_leaf_11123.png,Yes,a diagram of a leaf with the names of the parts labeled,a,MIDRIB
87,87,introduction to plants,Which label represents the vein?,F,K,S,X,S,../Dataset/test/abc_question_images/parts_leaf_13106.png,Yes,a diagram of a leaf with the names of the parts labeled,d,X
88,88,introduction to plants,Which label shows the stem?,X,K,S,F,X,../Dataset/test/abc_question_images/parts_leaf_13106.png,Yes,a diagram of a leaf with the names of the parts labeled,c,S
89,89,introduction to plants,Which letter corresponds to the part that connects the leaf to the stem?,X,S,K,F,X,../Dataset/test/abc_question_images/parts_leaf_13106.png,Yes,a diagram of a leaf with the names of the parts labeled,d,F
90,90,introduction to plants,Identify K in the figure.,LEAFSTALK,STIPULES,STEM,BLADE,BLADE,../Dataset/test/abc_question_images/parts_leaf_13106.png,Yes,a diagram of a leaf with the names of the parts labeled,a,LEAFSTALK
91,91,introduction to plants,Which represents the midrib?,F,S,X,K,F,../Dataset/test/abc_question_images/parts_leaf_13106.png,Yes,a diagram of a leaf with the names of the parts labeled,c,X
92,92,introduction to plants,Which label refers to the branch?,R,NONE,J,L,R,../Dataset/test/abc_question_images/parts_leaf_13113.png,Yes,a drawing of a leaf with the letter l on it,a,R
93,93,introduction to plants,Where is the lamina of the leaf?,J,A,M,S,M,../Dataset/test/abc_question_images/parts_leaf_13131.png,Yes,a diagram of a leaf with the names of the parts labeled,d,S
94,94,introduction to plants,What letter represents the mesophyll?,C,E,W,H,W,../Dataset/test/abc_question_images/parts_leaf_13133.png,Yes,a diagram of the structure of a plant's structure,a,C
95,95,introduction to plants,Which label indicates the leaf's mesophyll?,"A, W",E,Y,M,"A, W",../Dataset/test/abc_question_images/parts_leaf_13133.png,Yes,a diagram of the structure of a plant's structure,d,M
96,96,introduction to plants,Which letter represents a vein?,A,M,C,Y,M,../Dataset/test/abc_question_images/parts_leaf_13133.png,Yes,a diagram of the structure of a plant's structure,c,C
97,97,introduction to plants,Where is the outer edge of the plant leaf?,C,Y,A,M,C,../Dataset/test/abc_question_images/parts_leaf_13133.png,Yes,a diagram of the structure of a plant's structure,a,C
98,98,introduction to plants,What is the top layer called?,UPPER EPIDERMIS,LOWER EPIDERMIS,BUNDLE SHEATH,VEIN,UPPER EPIDERMIS,../Dataset/test/abc_question_images/parts_leaf_13133.png,Yes,a diagram of the structure of a plant's structure,a,UPPER EPIDERMIS
99,99,introduction to plants,Which label indicates the leaf's upper epidermis?,X,P,M,K,M,../Dataset/test/abc_question_images/parts_leaf_13134.png,Yes,a diagram of a plant's structure with the names of the parts,b,P
100,100,introduction to plants,Which one Palisade Mesophyll?,M,N,P,K,P,../Dataset/test/abc_question_images/parts_leaf_13134.png,Yes,a diagram of a plant's structure with the names of the parts,a,M
101,101,introduction to plants,Which label shows the Stoma?,H,S,N,K,S,../Dataset/test/abc_question_images/parts_leaf_13135.png,Yes,a diagram of a plant's structure with the names of the parts,b,S
102,102,introduction to plants,What does the letter R represent?,CUTICLE,STOMATA,LOWER EPIDERMIS,VEIN,LOWER EPIDERMIS,../Dataset/test/abc_question_images/parts_leaf_13135.png,Yes,a diagram of a plant's structure with the names of the parts,a,CUTICLE
103,103,introduction to plants,Identify the spongy mesophyll in this picture,D,F,J,X,J,../Dataset/test/abc_question_images/parts_leaf_13137.png,Yes,a diagram of a plant's structure with the letter j and the letter f,d,X
104,104,introduction to plants,Which label represents the cuticle?,U,F,R,D,D,../Dataset/test/abc_question_images/parts_leaf_13137.png,Yes,a diagram of a plant's structure with the letter j and the letter f,d,D
105,105,introduction to plants,Identify the blade of the leaf,D,W,T,K,D,../Dataset/test/abc_question_images/parts_leaf_13149.png,Yes,a diagram of a leaf with the names of the parts labeled,a,D
106,106,introduction to plants,Which label shows the Blade?,D,T,K,W,D,../Dataset/test/abc_question_images/parts_leaf_13149.png,Yes,a diagram of a leaf with the names of the parts labeled,a,D
107,107,introduction to plants,Identify the primary vein of the leaf:,Y,D,T,K,Y,../Dataset/test/abc_question_images/parts_leaf_13149.png,Yes,a diagram of a leaf with the names of the parts labeled,c,T
108,108,introduction to plants,Where is the blade?,K,D,T,Y,D,../Dataset/test/abc_question_images/parts_leaf_13149.png,Yes,a diagram of a leaf with the names of the parts labeled,c,T
109,109,introduction to plants,Which label stands for the blade?,D,W,Y,J,W,../Dataset/test/abc_question_images/parts_leaf_13844.png,Yes,a close up of a leaf with the names of the parts labeled,a,D
110,110,introduction to plants,Which letter indicates the epidermis superior?,L,D,E,A,D,../Dataset/test/abc_question_images/parts_leaf_13852.png,Yes,a diagram of a plant cell with the names of the parts labeled,d,A
111,111,introduction to plants,Which letter indicates the vas conductor?,X,A,V,M,M,../Dataset/test/abc_question_images/parts_leaf_13852.png,Yes,a diagram of a plant cell with the names of the parts labeled,c,V
112,112,introduction to plants,By what letter is the stoma represented in the diagram?,Y,W,T,X,Y,../Dataset/test/abc_question_images/parts_leaf_13853.png,Yes,a diagram of a plant cell showing the structure of the cell,d,X
113,113,introduction to plants,Which label shows the stoma?,Y,M,T,A,Y,../Dataset/test/abc_question_images/parts_leaf_13853.png,Yes,a diagram of a plant cell showing the structure of the cell,d,A
114,114,introduction to plants,Identify the layer of leaf that is in between the upper dermis and the spongy mesophyll,X,N,T,W,W,../Dataset/test/abc_question_images/parts_leaf_13853.png,Yes,a diagram of a plant cell showing the structure of the cell,d,W
115,115,introduction to plants,"It is each of a pair of curved cells that surround a stoma, becoming larger or smaller according to the pressure within the cells.",A,Y,T,W,A,../Dataset/test/abc_question_images/parts_leaf_13853.png,Yes,a diagram of a plant cell showing the structure of the cell,d.,W
116,116,introduction to plants,Identify the leaf blade in this picture,S,U,V,M,U,../Dataset/test/abc_question_images/parts_leaf_16262.png,Yes,"a black and white image of a leaf with the letters u, s, and m",a,S
117,117,introduction to plants,Which label refers to the leaf stalk?,V,K,M,U,M,../Dataset/test/abc_question_images/parts_leaf_16262.png,Yes,"a black and white image of a leaf with the letters u, s, and m",a,V
118,118,introduction to plants,Which letter corresponds to the part where veins connect to?,V,K,U,S,V,../Dataset/test/abc_question_images/parts_leaf_16262.png,Yes,"a black and white image of a leaf with the letters u, s, and m",d,S
119,119,introduction to plants,Identify the axillary bud in the figure.,M,P,K,S,P,../Dataset/test/abc_question_images/parts_leaf_16262.png,Yes,"a black and white image of a leaf with the letters u, s, and m",d,S
120,120,introduction to plants,By what letter is the midrib represented in the diagram?,A,E,K,V,V,../Dataset/test/abc_question_images/parts_leaf_16264.png,Yes,a close up of a leaf with the names of the parts labeled,d,V
121,121,introduction to plants,Which label indicates Vein?,E,V,X,K,K,../Dataset/test/abc_question_images/parts_leaf_16264.png,Yes,a close up of a leaf with the names of the parts labeled,b,V
122,122,introduction to plants,Identify the leaf's midrib.,V,K,A,E,V,../Dataset/test/abc_question_images/parts_leaf_16264.png,Yes,a close up of a leaf with the names of the parts labeled,c,A
123,123,introduction to plants,Where is the vein located?,V,E,A,K,K,../Dataset/test/abc_question_images/parts_leaf_16264.png,Yes,a close up of a leaf with the names of the parts labeled,a,V
124,124,introduction to plants,Which letter signifies the midrib?,E,A,V,K,V,../Dataset/test/abc_question_images/parts_leaf_16264.png,Yes,a close up of a leaf with the names of the parts labeled,c,V
125,125,introduction to plants,Which label shows the vascular bundle?,D,E,R,S,R,../Dataset/test/abc_question_images/parts_leaf_16266.png,Yes,a diagram of a plant cell structure with all the parts labeled,d,S
126,126,introduction to plants,Which part is the trichome?,S,D,T,C,S,../Dataset/test/abc_question_images/parts_leaf_16266.png,Yes,a diagram of a plant cell structure with all the parts labeled,c,T
127,127,introduction to plants,Where is the cuticle?,D,Y,J,T,D,../Dataset/test/abc_question_images/parts_leaf_16266.png,Yes,a diagram of a plant cell structure with all the parts labeled,d,T
128,128,introduction to plants,What element is located directly above the upper epidermis?,P,D,C,S,D,../Dataset/test/abc_question_images/parts_leaf_16266.png,Yes,a diagram of a plant cell structure with all the parts labeled,d,S
129,129,introduction to plants,Which label identifies the midvein?,A,E,N,H,N,../Dataset/test/abc_question_images/parts_leaf_16267.png,Yes,a leaf labeled in the diagram is labeled with the names of the parts,d,H
130,130,introduction to plants,Which label refers to the vein?,A,N,H,E,H,../Dataset/test/abc_question_images/parts_leaf_16267.png,Yes,a leaf labeled in the diagram is labeled with the names of the parts,d,E
131,131,introduction to plants,Where is the axil?,N,E,D,H,E,../Dataset/test/abc_question_images/parts_leaf_16267.png,Yes,a leaf labeled in the diagram is labeled with the names of the parts,d,H
132,132,introduction to plants,Identify the flower,K,S,V,H,K,../Dataset/test/abc_question_images/parts_plant_11145.png,Yes,a diagram of a plant with the names of the parts,d,H
133,133,introduction to plants,Identify the main reproductive organ of the plant.,W,K,S,M,K,../Dataset/test/abc_question_images/parts_plant_11145.png,Yes,a diagram of a plant with the names of the parts,d,M
134,134,introduction to plants,Identify the roots of this plant:,M,K,W,S,W,../Dataset/test/abc_question_images/parts_plant_11145.png,Yes,a diagram of a plant with the names of the parts,d,S
135,135,introduction to plants,Where is the system?,W,H,K,S,W,../Dataset/test/abc_question_images/parts_plant_11145.png,Yes,a diagram of a plant with the names of the parts,d,S
136,136,introduction to plants,The Stem is identified by which letter in the diagram?,C,R,N,E,C,../Dataset/test/abc_question_images/parts_plant_11155.png,Yes,a picture of a flower with the names of the parts labeled,a,C
137,137,introduction to plants,Which letter represents the bud?,N,R,C,E,R,../Dataset/test/abc_question_images/parts_plant_11155.png,Yes,a picture of a flower with the names of the parts labeled,c,C
